"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://www.france24.com/es/","text/html; charset=UTF-8","200","OK","Indexable","","France 24 - Noticias y actualidad internacional en vivo","55","478","","","","","","France 24 - Noticias y actualidad internacional en vivo","55","","","","","","https://www.france24.com/es/","","","","","","","","","0","","450","98","0","100.000","90","66","0","","","","","","","","","","","","","","1.1","https://www.france24.com/es/","2021-12-09 06:15:37"
"https://www.france24.com/es/minuto-a-minuto/20211209-bolivia-vacunará-contra-el-covid-19-a-niños-de-cinco-a-once-años","text/html; charset=UTF-8","200","OK","Indexable","","Bolivia vacunará contra el covid-19 a niños de cinco a once años","64","574","","","","","","Bolivia vacunará contra el covid-19 a niños de cinco a once años","64","","","","","","https://www.france24.com/es/minuto-a-minuto/20211209-bolivia-vacunará-contra-el-covid-19-a-niños-de-cinco-a-once-años","","","","","","","","","1","","6","2","0","2.040","42","30","0","","","","","","","","","","","","","","1.1","https://www.france24.com/es/minuto-a-minuto/20211209-bolivia-vacunar%C3%A1-contra-el-covid-19-a-ni%C3%B1os-de-cinco-a-once-a%C3%B1os","2021-12-09 06:15:40"
"https://www.france24.com/es/vod/deportes","text/html; charset=UTF-8","200","OK","Indexable","","Ver el resumen de los deportes y los resultados de las competiciones internacionales - France 24","96","864","","","","","","Ver el resumen de los deportes y los resultados de las competiciones internacionales","84","","","","","","https://www.france24.com/es/vod/deportes","","","","","","","","","1","","97","92","0","93.880","49","32","0","","","","","","","","","","","","","","1.1","https://www.france24.com/es/vod/deportes","2021-12-09 06:15:40"
"https://www.france24.com/es/américa-latina/20211123-colombia-lucha-tierra-pueblos-indigenas-violencia","text/html; charset=UTF-8","200","OK","Indexable","","Colombia: la lucha por la tierra de los pueblos indígenas pese a la violencia (4/6)","83","714","","","","","","Colombia: la lucha por la tierra de los pueblos indígenas pese a la violencia (4/6)","83","","","","","","https://www.france24.com/es/américa-latina/20211123-colombia-lucha-tierra-pueblos-indigenas-violencia","","","","","","","","","1","","13","7","0","7.140","68","51","0","","","","","","","","","","","","","","1.1","https://www.france24.com/es/am%C3%A9rica-latina/20211123-colombia-lucha-tierra-pueblos-indigenas-violencia","2021-12-09 06:15:40"
"https://www.france24.com/es/programas/áfrica-7-días/20211208-elecciones-gambia-adama-barrow-democracia-politica","text/html; charset=UTF-8","200","OK","Indexable","","Adama Barrow y su reelección como presidente en un nuevo capítulo para la democracia de Gambia - África 7 días","110","1028","","","","","","Adama Barrow y su reelección como presidente en un nuevo capítulo para la democracia de Gambia","94","","","","","","https://www.france24.com/es/programas/áfrica-7-días/20211208-elecciones-gambia-adama-barrow-democracia-politica","","","","","","","","","1","","31","25","0","25.510","61","42","0","","","","","","","","","","","","","","1.1","https://www.france24.com/es/programas/%C3%A1frica-7-d%C3%ADas/20211208-elecciones-gambia-adama-barrow-democracia-politica","2021-12-09 06:15:40"
"https://www.france24.com/es/américa-latina/","text/html; charset=UTF-8","200","OK","Indexable","","América Latina : información en vivo - France 24","48","432","","","","","","América Latina","14","","","","","","https://www.france24.com/es/américa-latina/","","","","","","","","","1","","205","92","0","93.880","63","48","0","","","","","","","","","","","","","","1.1","https://www.france24.com/es/am%C3%A9rica-latina/","2021-12-09 06:15:40"
"https://www.france24.com/es/mundo/20211208-oms-advierte-actuar-paises-omicron","text/html; charset=UTF-8","200","OK","Indexable","","OMS advierte que los países deben actuar para enfrentar la propagación de Ómicron","81","760","","","","","","OMS advierte que los países deben actuar para enfrentar la propagación de Ómicron","81","","","","","","https://www.france24.com/es/mundo/20211208-oms-advierte-actuar-paises-omicron","","","","","","","","","1","","10","3","0","3.060","65","48","0","","","","","","","","","","","","","","1.1","https://www.france24.com/es/mundo/20211208-oms-advierte-actuar-paises-omicron","2021-12-09 06:15:40"
"https://www.france24.com/es/programas/economía/20211208-empleados-union-europea-contratacion-economia","text/html; charset=UTF-8","200","OK","Indexable","","¿Empleados o independientes? Unión Europea busca regular contratación en plataformas digitales - Economía","105","985","","","","","","¿Empleados o independientes? Unión Europea busca regular contratación en plataformas digitales","94","","","","","","https://www.france24.com/es/programas/economía/20211208-empleados-union-europea-contratacion-economia","","","","","","","","","1","","11","3","0","3.060","61","39","0","","","","","","","","","","","","","","1.1","https://www.france24.com/es/programas/econom%C3%ADa/20211208-empleados-union-europea-contratacion-economia","2021-12-09 06:15:41"
"https://www.france24.com/es/minuto-a-minuto/20211209-eeuu-retorna-a-primeros-migrantes-tras-reactivarse-programa-quédate-en-méxico","text/html; charset=UTF-8","200","OK","Indexable","","EEUU retorna a primeros migrantes tras reactivarse programa ""Quédate en México""","79","749","","","","","","EEUU retorna a primeros migrantes tras reactivarse programa ""Quédate en México""","79","","","","","","https://www.france24.com/es/minuto-a-minuto/20211209-eeuu-retorna-a-primeros-migrantes-tras-reactivarse-programa-quédate-en-méxico","","","","","","","","","1","","6","2","0","2.040","42","30","0","","","","","","","","","","","","","","1.1","https://www.france24.com/es/minuto-a-minuto/20211209-eeuu-retorna-a-primeros-migrantes-tras-reactivarse-programa-qu%C3%A9date-en-m%C3%A9xico","2021-12-09 06:15:41"
"https://www.france24.com/es/archivos/2018/","text/html; charset=UTF-8","200","OK","Indexable","","Archivos 2018 de France 24: todos los artículos, programas y videos de la actualidad internacional","98","874","","","","","","Archivos 2018","13","","","","","","","","","","","","","","","1","","11","6","0","6.120","412","399","0","","","","","","","","","","","","","","1.1","https://www.france24.com/es/archivos/2018/","2021-12-09 06:15:40"
