"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"http://flaven.fr/","text/html; charset=UTF-8","200","OK","Indexable","","@ Flaven.net – Bruno Flaven's website","37","346","","","","","","@ Flaven.net","12","Deploying and Sharing Streamlit Application with Heroku and Streamlit","69","","","","","","","","","","","","","","","0","","303","99","0","100.000","249","141","0","","","","","","","","","","","","","","1.1","http://flaven.fr/","2021-12-09 15:13:50"
"http://flaven.fr/2021/04/","text/html; charset=UTF-8","200","OK","Indexable","","April 2021 – @ Flaven.net","25","230","","","","","","Month: April 2021","17","Using Ludwig, Introduction to Deep Learning","43","","","","","","","","","","","","","","","1","","102","99","0","100.000","132","122","0","","","","","","","","","","","","","","1.1","http://flaven.fr/2021/04/","2021-12-09 15:13:54"
"http://flaven.fr/2016/09/","text/html; charset=UTF-8","200","OK","Indexable","","September 2016 – @ Flaven.net","29","289","","","","","","Month: September 2016","21","BDD, Behat, Gherkin – Introduction au Behavior Driven Development avec Behat et Mink","84","","","","","","","","","","","","","","","1","","102","99","0","100.000","138","124","0","","","","","","","","","","","","","","1.1","http://flaven.fr/2016/09/","2021-12-09 15:13:54"
"http://flaven.fr/2019/07/","text/html; charset=UTF-8","200","OK","Indexable","","July 2019 – @ Flaven.net","24","226","","","","","","Month: July 2019","16","Using Pandoc to generate documentation, manuals in pdf, docx, html from markdown documents","90","","","","","","","","","","","","","","","1","","102","99","0","100.000","138","124","0","","","","","","","","","","","","","","1.1","http://flaven.fr/2019/07/","2021-12-09 15:13:54"
"http://flaven.fr/2015/05/","text/html; charset=UTF-8","200","OK","Indexable","","May 2015 – @ Flaven.net","23","229","","","","","","Month: May 2015","15","D3, Data Visualization – Créer un nuage de mots en Data Visualisation sur la base d’un texte","92","","","","","","","","","","","","","","","1","","102","99","0","100.000","132","123","0","","","","","","","","","","","","","","1.1","http://flaven.fr/2015/05/","2021-12-09 15:13:54"
"http://flaven.fr/2017/06/","text/html; charset=UTF-8","200","OK","Indexable","","June 2017 – @ Flaven.net","24","234","","","","","","Month: June 2017","16","WordPress, API, JSON – POC for a small Rest API with WordPress mobile applications","82","","","","","","","","","","","","","","","1","","102","99","0","100.000","132","123","0","","","","","","","","","","","","","","1.1","http://flaven.fr/2017/06/","2021-12-09 15:13:54"
"http://flaven.fr/bruno-flaven-resume-cv/","text/html; charset=UTF-8","200","OK","Indexable","","Bruno Flaven – @ Flaven.net","27","259","","","","","","Bruno Flaven","12","","0","","","","","","http://flaven.fr/bruno-flaven-resume-cv/","","","","","","","","","1","","102","99","0","100.000","129","124","0","","","","","","","","","","","","","","1.1","http://flaven.fr/bruno-flaven-resume-cv/","2021-12-09 15:13:54"
"http://flaven.fr/2021/03/improve-a-cmss-photos-library-qualification-with-ai-object-detection-from-images-in-python-with-opencv-and-yolo/","text/html; charset=UTF-8","200","OK","Indexable","","Improve a CMS’s photos library qualification with AI, Object Detection from images in Python with OpenCv and YOLO – @ Flaven.net","128","1184","","","","","","Improve a CMS’s photos library qualification with AI, Object Detection from images in Python with OpenCv and YOLO","113","","0","","","","","","http://flaven.fr/2021/03/improve-a-cmss-photos-library-qualification-with-ai-object-detection-from-images-in-python-with-opencv-and-yolo/","","","","","","","","","1","","26","7","0","7.070","182","168","0","","","","","","","","","","","","","","1.1","http://flaven.fr/2021/03/improve-a-cmss-photos-library-qualification-with-ai-object-detection-from-images-in-python-with-opencv-and-yolo/","2021-12-09 15:13:54"
"http://flaven.fr/2013/04/","text/html; charset=UTF-8","200","OK","Indexable","","April 2013 – @ Flaven.net","25","230","","","","","","Month: April 2013","17","Visions du Réel, SUPSI, i_doc workshop 2013 – Un retour sur le i_doc workshop 2013 au festival Visions du Réel de Nyon","118","","","","","","","","","","","","","","","1","","102","99","0","100.000","180","135","0","","","","","","","","","","","","","","1.1","http://flaven.fr/2013/04/","2021-12-09 15:13:54"
"http://flaven.fr/2021/04/using-ludwig-introduction-to-deep-learning/","text/html; charset=UTF-8","200","OK","Indexable","","Using Ludwig, Introduction to Deep Learning – @ Flaven.net","58","535","","","","","","Using Ludwig, Introduction to Deep Learning","43","","0","","","","","","http://flaven.fr/2021/04/using-ludwig-introduction-to-deep-learning/","","","","","","","","","1","","133","99","0","100.000","175","158","0","","","","","","","","","","","","","","1.1","http://flaven.fr/2021/04/using-ludwig-introduction-to-deep-learning/","2021-12-09 15:13:54"
