"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"http://www.the99project.net/","text/html; charset=UTF-8","200","OK","Indexable","","THE 99 PROJECT – Collaborative storytelling and acting","54","501","","","","","","99 九十九","6","","0","","","","","","http://www.the99project.net/","","","","","","","","","0","","722","79","0","100.000","18","3","0","","","","","","","","","","","","","","1.1","http://www.the99project.net/","2021-12-11 10:23:27"
"http://www.the99project.net/99-projects-new/","text/html; charset=UTF-8","200","OK","Indexable","","99 projects – THE 99 PROJECT","28","285","","","","","","","0","","0","","","","","","http://www.the99project.net/99-projects-new/","","","","","","","","","1","","164","79","0","100.000","44","15","0","","","","","","","","","","","","","","1.1","http://www.the99project.net/99-projects-new/","2021-12-11 10:23:33"
"http://www.the99project.net/category/news/","text/html; charset=UTF-8","200","OK","Indexable","","News – THE 99 PROJECT","21","236","","","","","","","0","","0","","","","","","","","","","","","","","","1","","282","79","0","100.000","61","14","0","","","","","","","","","","","","","","1.1","http://www.the99project.net/category/news/","2021-12-11 10:23:33"
"http://www.the99project.net/portfolio/99-live-lebanon/","text/html; charset=UTF-8","200","OK","Indexable","","99 Live Lebanon – THE 99 PROJECT","32","334","","","","","","Portfolio navigation","20","","0","","","","","","http://www.the99project.net/portfolio/99-live-lebanon/","","","","","","","","","2","","11","6","0","7.590","20","9","0","","","","","","","","","","","","","","1.1","http://www.the99project.net/portfolio/99-live-lebanon/","2021-12-11 10:23:34"
"http://www.the99project.net/portfolio/99-femmes-maroc/","text/html; charset=UTF-8","200","OK","Indexable","","99 Femmes Maroc – THE 99 PROJECT","32","355","","","","","","Les femmes, actrices du développement","37","Une collaboration à grande échelle","34","","","","","","http://www.the99project.net/portfolio/99-femmes-maroc/","","","","","","","","","2","","22","7","0","8.860","26","7","0","","","","","","","","","","","","","","1.1","http://www.the99project.net/portfolio/99-femmes-maroc/","2021-12-11 10:23:34"
"http://www.the99project.net/portfolio/99-hec-for-diversity/","text/html; charset=UTF-8","200","OK","Indexable","","99 HEC FOR DIVERSITY – THE 99 PROJECT","37","414","","","","","","Portfolio navigation","20","","0","","","","","","http://www.the99project.net/portfolio/99-hec-for-diversity/","","","","","","","","","2","","8","4","0","5.060","18","6","0","","","","","","","","","","","","","","1.1","http://www.the99project.net/portfolio/99-hec-for-diversity/","2021-12-11 10:23:34"
"http://www.the99project.net/portfolio/the-99-project-around-the-world/","text/html; charset=UTF-8","200","OK","Indexable","","THE 99 PROJECT around the world – THE 99 PROJECT","48","507","","","","","","Portfolio navigation","20","","0","","","","","","http://www.the99project.net/portfolio/the-99-project-around-the-world/","","","","","","","","","2","","7","4","0","5.060","26","13","0","","","","","","","","","","","","","","1.1","http://www.the99project.net/portfolio/the-99-project-around-the-world/","2021-12-11 10:23:34"
"http://www.the99project.net/2021/09/13/99-voix-a-avignon/","text/html; charset=UTF-8","200","OK","Indexable","","99 VOIX à Avignon – THE 99 PROJECT","34","357","","","","","","99 VOIX à Avignon","17","Post navigation","15","","","","","","http://www.the99project.net/2021/09/13/99-voix-a-avignon/","","","","","","","","","2","","90","45","0","56.960","35","21","0","","","","","","","","","","","","","","1.1","http://www.the99project.net/2021/09/13/99-voix-a-avignon/","2021-12-11 10:23:34"
"http://www.the99project.net/2021/07/07/99-news-july-2021/","text/html; charset=UTF-8","200","OK","Indexable","","99 news July 2021 – THE 99 PROJECT","34","352","","","","","","Where are we now? ","18","99 WOMEN MOROCCO","16","","","","","","http://www.the99project.net/2021/07/07/99-news-july-2021/","","","","","","","","","2","","34","12","0","15.190","36","18","0","","","","","","","","","","","","","","1.1","http://www.the99project.net/2021/07/07/99-news-july-2021/","2021-12-11 10:23:34"
"http://www.the99project.net/portfolio/99-voix-habitat-et-humanisme/","text/html; charset=UTF-8","200","OK","Indexable","","99 Voix Habitat et Humanisme 2020-2021 – THE 99 PROJECT","55","558","","","","","","Portfolio navigation","20","","0","","","","","","http://www.the99project.net/portfolio/99-voix-habitat-et-humanisme/","","","","","","","","","2","","14","8","0","10.130","18","7","0","","","","","","","","","","","","","","1.1","http://www.the99project.net/portfolio/99-voix-habitat-et-humanisme/","2021-12-11 10:23:34"
