country,year,gender,age,suicides_no,population,suicides_100k_pop,HDI,gdp,gdp_per_capita,generation,iso,iso_alpha,region,sub_region
Albania,1987,male,15-24 years,21,312900,6.71,0.7766011477761837,2156624900,796,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1987,male,35-54 years,16,308000,5.19,0.7766011477761837,2156624900,796,Silent,ALB,ALB,Europe,Southern Europe
Albania,1987,female,15-24 years,14,289700,4.83,0.7766011477761837,2156624900,796,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1987,male,75+ years,1,21800,4.59,0.7766011477761837,2156624900,796,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1987,male,25-34 years,9,274300,3.28,0.7766011477761837,2156624900,796,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1987,female,75+ years,1,35600,2.81,0.7766011477761837,2156624900,796,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1987,female,35-54 years,6,278800,2.15,0.7766011477761837,2156624900,796,Silent,ALB,ALB,Europe,Southern Europe
Albania,1987,female,25-34 years,4,257200,1.56,0.7766011477761837,2156624900,796,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1987,male,55-74 years,1,137500,0.73,0.7766011477761837,2156624900,796,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1987,female,5-14 years,0,311000,0.0,0.7766011477761837,2156624900,796,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1987,female,55-74 years,0,144600,0.0,0.7766011477761837,2156624900,796,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1987,male,5-14 years,0,338200,0.0,0.7766011477761837,2156624900,796,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1988,female,75+ years,2,36400,5.49,0.7766011477761837,2126000000,769,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1988,male,15-24 years,17,319200,5.33,0.7766011477761837,2126000000,769,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1988,male,75+ years,1,22300,4.48,0.7766011477761837,2126000000,769,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1988,male,35-54 years,14,314100,4.46,0.7766011477761837,2126000000,769,Silent,ALB,ALB,Europe,Southern Europe
Albania,1988,male,55-74 years,4,140200,2.85,0.7766011477761837,2126000000,769,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1988,female,15-24 years,8,295600,2.71,0.7766011477761837,2126000000,769,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1988,female,55-74 years,3,147500,2.03,0.7766011477761837,2126000000,769,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1988,female,25-34 years,5,262400,1.91,0.7766011477761837,2126000000,769,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1988,male,25-34 years,5,279900,1.79,0.7766011477761837,2126000000,769,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1988,female,35-54 years,4,284500,1.41,0.7766011477761837,2126000000,769,Silent,ALB,ALB,Europe,Southern Europe
Albania,1988,female,5-14 years,0,317200,0.0,0.7766011477761837,2126000000,769,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1988,male,5-14 years,0,345000,0.0,0.7766011477761837,2126000000,769,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1989,male,75+ years,2,22500,8.89,0.7766011477761837,2335124988,833,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1989,male,25-34 years,18,283600,6.35,0.7766011477761837,2335124988,833,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1989,male,35-54 years,15,318400,4.71,0.7766011477761837,2335124988,833,Silent,ALB,ALB,Europe,Southern Europe
Albania,1989,male,55-74 years,6,142100,4.22,0.7766011477761837,2335124988,833,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1989,male,15-24 years,12,323500,3.71,0.7766011477761837,2335124988,833,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1989,female,35-54 years,7,288600,2.43,0.7766011477761837,2335124988,833,Silent,ALB,ALB,Europe,Southern Europe
Albania,1989,female,15-24 years,5,299900,1.67,0.7766011477761837,2335124988,833,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1989,female,25-34 years,2,266300,0.75,0.7766011477761837,2335124988,833,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1989,female,55-74 years,1,149600,0.67,0.7766011477761837,2335124988,833,G.I. Generation,ALB,ALB,Europe,Southern Europe
